END TIME,START TIME
1505358651.179817,1505358651.147710
1505358653.285703,1505358653.280149
1505358655.276443,1505358655.271539
1505358657.224170,1505358657.218097
1505358659.187326,1505358659.177780
1505358661.180945,1505358661.173134
1505358663.136901,1505358663.132310
1505358680.910502,1505358680.904489
1505358682.906070,1505358682.900755
1505358684.907004,1505358684.896571
1505358686.888919,1505358686.882516
1505358688.880386,1505358688.873549
1505358690.881090,1505358690.864218
1505358692.863543,1505358692.852889
1505358694.828160,1505358694.822901
1505358696.812434,1505358696.806323
1505358698.854118,1505358698.847361
1505358700.813174,1505358700.805795
1505358702.779981,1505358702.773895
1505358704.774706,1505358704.757072
1505358706.791306,1505358706.781734
1505358708.839912,1505358708.818145
1505358711.381687,1505358711.377047
1505358713.387794,1505358713.382053
1505358715.356702,1505358715.351398
1505358717.332307,1505358717.323236
1505358719.329880,1505358719.323406
1505358721.287832,1505358721.280067
1505358723.245605,1505358723.238613
1505358725.260324,1505358725.254962
1505358727.247170,1505358727.241619
1505358729.217564,1505358729.212461
1505358731.190573,1505358731.171975
1505358733.148896,1505358733.141688
1505358735.115572,1505358735.110681
1505358737.063795,1505358737.056053
1505358739.396577,1505358739.391815
1505358741.470595,1505358741.465492
1505358743.439766,1505358743.435335
1505358745.423939,1505358745.416500
1505358747.358256,1505358747.351666
1505358749.331213,1505358749.325695
1505358751.289589,1505358751.282798
1505358753.244778,1505358753.238476
1505358755.211564,1505358755.206758
1505358757.188824,1505358757.181601
1505358759.124600,1505358759.118814
1505358761.106423,1505358761.101456
1505358763.124385,1505358763.117900
1505358765.139036,1505358765.133436
1505358767.140583,1505358767.135173
1505358769.495237,1505358769.485983
1505358771.569935,1505358771.562811
1505358773.566326,1505358773.561334
1505358775.550917,1505358775.545920
1505358777.538665,1505358777.532578
1505358779.501342,1505358779.494740
1505358781.558262,1505358781.544419
1505358783.543713,1505358783.538392
1505358785.514218,1505358785.505228
1505358787.490511,1505358787.482191
1505358789.467943,1505358789.453376
1505358791.481037,1505358791.476160
1505358793.489789,1505358793.475594
1505358795.467397,1505358795.461731
1505358797.445453,1505358797.440752
1505358799.911785,1505358799.888969
1505358801.965272,1505358801.959268
1505358803.904888,1505358803.899990
1505358805.910830,1505358805.903298
1505358807.911196,1505358807.903745
1505358809.889151,1505358809.871613
1505358811.882396,1505358811.872818
1505358813.893924,1505358813.887070
1505358815.884880,1505358815.874096
1505358817.860111,1505358817.853423
1505358819.822271,1505358819.813577
1505358821.788590,1505358821.781143
1505358823.769337,1505358823.764004
1505358825.738976,1505358825.733115
1505358827.689147,1505358827.683953
1505358830.128389,1505358830.097663
1505358832.102256,1505358832.097210
1505358834.043261,1505358834.038424
1505358836.036960,1505358836.031468
1505358837.975318,1505358837.969802
1505358839.935911,1505358839.931345
1505358841.949389,1505358841.939166
1505358843.959134,1505358843.951864
1505358845.932090,1505358845.924516
1505358847.916674,1505358847.911475
1505358849.889767,1505358849.884738
1505358851.854996,1505358851.849477
1505358853.820730,1505358853.816272
1505358855.791480,1505358855.785973
1505358857.785068,1505358857.775603
1505358860.169946,1505358860.163489
1505358862.162500,1505358862.158156
1505358864.152276,1505358864.147454
1505358866.138847,1505358866.134136
