-END TIME-,-START TIME-
1505355882.878143,1505355882.865086
1505355885.148259,1505355885.137941
1505355887.314447,1505355887.242787
1505355890.183411,1505355890.164324
1505355892.326459,1505355892.296716
1505355894.486963,1505355894.471433
1505355896.580188,1505355896.560241
1505355898.745740,1505355898.736989
1505355900.877176,1505355900.839955
1505355904.062263,1505355904.046100
1505355907.005306,1505355906.969736
1505355909.842408,1505355909.831177
1505355912.312239,1505355912.291694
1505355914.916399,1505355914.905987
1505355917.422214,1505355917.405957
1505355920.661255,1505355920.644063
1505355923.214810,1505355923.207127
1505355925.666500,1505355925.636633
1505355928.313337,1505355928.304266
1505355930.918072,1505355930.900368
1505355933.425447,1505355933.413841
1505355936.438947,1505355936.408317
1505355939.098916,1505355939.090599
1505355941.537354,1505355941.514923
1505355944.002230,1505355943.991819
1505355946.442074,1505355946.436326
1505355949.580566,1505355949.566738
1505355952.414959,1505355952.401429
1505355954.781340,1505355954.758915
1505355957.309095,1505355957.303492
1505355959.793472,1505355959.784620
1505355962.262275,1505355962.228347
1505355964.865063,1505355964.855192
1505355967.462518,1505355967.454545
1505355970.181688,1505355970.164328
1505355972.772812,1505355972.754883
1505355975.190436,1505355975.180585
1505355977.740155,1505355977.717790
1505355981.378544,1505355981.360117
1505355983.933859,1505355983.913070
1505355986.520188,1505355986.511437
1505355988.960994,1505355988.939777
1505355991.453965,1505355991.445211
1505355993.971930,1505355993.963522
1505355996.435525,1505355996.422042
1505355999.089350,1505355999.075135
1505356001.516405,1505356001.497809
1505356003.917280,1505356003.909421
1505356006.637702,1505356006.628488
1505356009.780574,1505356009.767535
1505356012.568432,1505356012.541085
1505356015.241054,1505356015.219101
1505356018.319973,1505356018.259185
1505356021.316896,1505356021.307106
1505356023.641644,1505356023.620754
1505356025.856483,1505356025.844697
1505356027.987033,1505356027.963000
1505356030.107008,1505356030.098674
1505356032.239111,1505356032.216947
1505356034.378589,1505356034.367761
1505356036.531269,1505356036.498152
1505356038.642391,1505356038.631082
1505356041.660580,1505356041.651114
1505356043.714045,1505356043.696116
1505356045.808370,1505356045.788724
1505356047.899123,1505356047.877389
1505356050.032068,1505356050.023743
1505356052.084566,1505356052.076006
1505356054.186195,1505356054.178920
1505356056.419137,1505356056.411219
1505356058.447564,1505356058.437016
1505356060.519266,1505356060.511774
1505356062.649538,1505356062.626980
1505356064.755221,1505356064.735919
1505356066.884684,1505356066.859487
1505356069.696578,1505356069.618888
1505356072.103267,1505356072.094221
1505356074.138929,1505356074.117086
1505356076.270109,1505356076.250637
1505356078.369220,1505356078.346943
1505356080.481649,1505356080.463777
1505356082.591871,1505356082.583453
1505356084.735640,1505356084.706994
1505356086.908351,1505356086.899575
1505356088.999503,1505356088.981948
1505356091.185193,1505356091.177914
1505356093.285769,1505356093.278036
1505356095.311876,1505356095.305192
1505356097.515432,1505356097.492249
1505356100.358129,1505356100.342280
1505356102.483812,1505356102.467053
1505356104.600248,1505356104.576922
1505356106.760721,1505356106.748243
1505356108.765951,1505356108.757134
1505356110.835522,1505356110.826441
1505356112.999751,1505356112.974244
1505356115.151380,1505356115.144506
1505356117.222494,1505356117.212392
1505356119.415256,1505356119.401577
1505356121.490336,1505356121.466894
